metric,beta,se,z,p,log_params_beta,log_params_p,re_variance,n_obs,n_models,n_langs,aic,bic
fertility,-1.3421,0.7281,-1.8432,0.065301,17.3648,0.033463,107.5722,77,7,11,nan,nan
cpt,5.0275,0.4587,10.9605,0.0,17.4125,0.027088,102.0865,77,7,11,nan,nan
compression_ratio,2.1207,0.8752,2.423,0.015391,17.5569,0.027305,101.9809,77,7,11,nan,nan
strr,5.6795,0.3075,18.4693,0.0,17.4547,0.035941,114.7972,77,7,11,nan,nan
nsl,-4.9611,0.523,-9.4852,0.0,17.9062,0.021752,99.8638,77,7,11,nan,nan
parity,-4.2863,0.5776,-7.4213,0.0,17.9912,0.026991,108.2051,77,7,11,nan,nan
