tokenizer,display_name,vocab_size,lang,fertility,cpt,compression_ratio,strr,nsl,parity
openai-community/gpt2,GPT-2,50257,en,1.6269009162180033,5.049400241323018,5.0535879054581585,0.6055539812978181,0.198043322416047,1.0
openai-community/gpt2,GPT-2,50257,zh,34.45126488095238,0.61697213370688,1.4940546205008662,0.31547619047619047,1.6208187458837395,6.637660586272979
openai-community/gpt2,GPT-2,50257,ja,91.07829977628636,0.6696752942696139,1.9285114559281804,0.1528709917971663,1.4932610006027727,8.791681453616297
openai-community/gpt2,GPT-2,50257,ar,5.867158138190228,1.0034742124533556,1.8154573209961749,0.009106678230702514,0.9965378159097268,6.0676414223862585
openai-community/gpt2,GPT-2,50257,hi,8.264253477019434,0.6582879085472161,1.673360845673427,0.026066132449111174,1.5190921586375674,6.4323940662928525
openai-community/gpt2,GPT-2,50257,de,2.6329954561342186,2.6103896103896105,2.6586870840602184,0.28617616218105557,0.38308457711442784,2.19703314642629
openai-community/gpt2,GPT-2,50257,tr,3.700963909437346,2.021730970584168,2.23117801615994,0.11933049391018456,0.49462565225038596,3.5928028958762157
openai-community/gpt2,GPT-2,50257,ko,8.702610114192495,0.5020345379586654,1.1690499825611032,0.011256117455138662,1.9918948287225893,7.936617219107105
openai-community/gpt2,GPT-2,50257,th,53.90500281056774,0.52320558489948,1.4990582647504402,0.056211354693648116,1.9112945825915129,6.933920079494642
openai-community/gpt2,GPT-2,50257,ru,7.157122098438839,0.9503565002998601,1.718355243743396,0.15008010730653154,1.0522367129434862,14.912201007878487
openai-community/gpt2,GPT-2,50257,fr,2.3473586408282454,2.974026728646136,3.082626380011621,0.3776214494292541,0.3362444561670867,1.2215203350131307
openai-community/gpt2,GPT-2,50257,es,2.189189189189189,2.8815552441953565,2.937399919935949,0.42166469258102723,0.34703481809499004,1.4184115267229753
openai-community/gpt2,GPT-2,50257,pt,2.4428971308607417,2.7354907412885288,2.8226646157486837,0.34345696291112665,0.36556511959859855,2.399460572077507
openai-community/gpt2,GPT-2,50257,vi,3.8798158468621273,1.210869520498632,1.563799806636085,0.07026896050399806,0.825852813264474,3.450422315281425
openai-community/gpt2,GPT-2,50257,id,2.7972698555956677,2.6856678814767867,2.6878070036444304,0.14553249097472923,0.3723468590055607,1.7917524309745192
meta-llama/Llama-2-7b-hf,Llama-2-7B,32000,en,1.524416737508265,4.274529832361954,4.278074866310161,0.701898554831397,0.23394385797219605,1.0
meta-llama/Llama-2-7b-hf,Llama-2-7B,32000,zh,24.133928571428573,0.8770292454550982,2.1238067732717214,0.35788690476190477,1.1402128323338765,3.9528931082136634
meta-llama/Llama-2-7b-hf,Llama-2-7B,32000,ja,70.79120059656972,0.8673693456302152,2.4978250413033023,0.15137956748695003,1.1529113924050634,5.746199603436881
meta-llama/Llama-2-7b-hf,Llama-2-7B,32000,ar,5.4797629372651055,1.12468206728374,2.034743162807772,0.004553339115351257,0.8891401659983214,4.582947785855915
meta-llama/Llama-2-7b-hf,Llama-2-7B,32000,hi,5.729206963249516,0.9507402508406508,2.4167715820172435,0.02321083172147002,1.0518119950383855,3.770293817220453
meta-llama/Llama-2-7b-hf,Llama-2-7B,32000,de,2.0613421880461376,3.267896141713176,3.328358812585942,0.49685424676686474,0.30600727704759784,1.4856696509042842
meta-llama/Llama-2-7b-hf,Llama-2-7B,32000,tr,3.7051483224986925,2.049670532155661,2.262012057121112,0.11208249271463798,0.4878832887099611,3.0
meta-llama/Llama-2-7b-hf,Llama-2-7B,32000,ko,6.385154975530179,0.7082907503438182,1.6493432756728112,0.01035889070146819,1.411849582271942,4.762182298864388
meta-llama/Llama-2-7b-hf,Llama-2-7B,32000,th,30.310286677908937,0.9426442653486528,2.700809619534146,0.03316469926925239,1.060845577446051,3.2580063690440424
meta-llama/Llama-2-7b-hf,Llama-2-7B,32000,ru,2.663921904690935,2.6174296051596664,4.732617586912065,0.29118074443906256,0.38205420998858103,4.583548639067476
meta-llama/Llama-2-7b-hf,Llama-2-7B,32000,fr,1.8948765595964958,3.442030934767989,3.567720242098184,0.55110167241837,0.29052615126116094,0.8934687255903383
meta-llama/Llama-2-7b-hf,Llama-2-7B,32000,es,1.840099063206633,3.2622365737593473,3.3254588715159756,0.5545386023473673,0.3065381609794217,1.060626089046446
meta-llama/Llama-2-7b-hf,Llama-2-7B,32000,pt,1.9680895731280617,3.2120875303924974,3.3144494616186178,0.49223233030090974,0.3113240192049829,1.7298563960824371
meta-llama/Llama-2-7b-hf,Llama-2-7B,32000,vi,2.9002503836523705,1.606857205252095,2.075205415881855,0.09845731362571683,0.6223328350095134,2.201105569909271
meta-llama/Llama-2-7b-hf,Llama-2-7B,32000,id,2.8564981949458486,2.626772568771794,2.6288647810925996,0.10333935018050541,0.38069531100196174,1.5508021390374331
meta-llama/Llama-3.1-8B,Llama-3.1-8B,128256,en,1.5539812978180787,5.142103361040839,5.146367907481026,0.6357797298573723,0.19447294808900634,1.0
meta-llama/Llama-3.1-8B,Llama-3.1-8B,128256,zh,14.322172619047619,1.4862957238536836,3.5992014425553838,0.3552827380952381,0.6728136157232486,2.8059269967473797
meta-llama/Llama-3.1-8B,Llama-3.1-8B,128256,ja,44.770320656226694,1.3710743801652892,3.9483801652892563,0.16480238627889635,0.7293550331525015,4.372967112396097
meta-llama/Llama-3.1-8B,Llama-3.1-8B,128256,ar,2.6715091066782306,2.679493987193503,4.847665156957676,0.1491037872217404,0.3732047934346731,2.3140585471629924
meta-llama/Llama-3.1-8B,Llama-3.1-8B,128256,hi,3.0270793036750483,1.8935440868406017,4.813368882117691,0.07792207792207792,0.5281102283013175,2.277267799060354
meta-llama/Llama-3.1-8B,Llama-3.1-8B,128256,de,2.272369800768962,3.522165555119655,3.5873327230722287,0.3365955959454736,0.2839162396970372,1.6581857607517168
meta-llama/Llama-3.1-8B,Llama-3.1-8B,128256,tr,2.7485616080101622,3.3847527699685793,3.735405986439557,0.15833520137487858,0.2954425531083273,2.1853993494759667
meta-llama/Llama-3.1-8B,Llama-3.1-8B,128256,ko,3.0158238172920067,1.5868219464623907,3.695112643808124,0.09045676998368679,0.630190426991111,2.5570654138055655
meta-llama/Llama-3.1-8B,Llama-3.1-8B,128256,th,12.754918493535694,2.204952331650921,6.317501402010267,0.12872400224845418,0.45352454365816913,1.6755330683050236
meta-llama/Llama-3.1-8B,Llama-3.1-8B,128256,ru,2.8697045344461416,3.013174375613069,5.448170225609296,0.2138306196207012,0.3318759140172687,4.789663895916155
meta-llama/Llama-3.1-8B,Llama-3.1-8B,128256,fr,2.0653039554021766,3.7267365661861076,3.8628221930974225,0.4283249269976108,0.2683312818709337,0.9926996747379834
meta-llama/Llama-3.1-8B,Llama-3.1-8B,128256,es,1.9342091095079144,3.602665165165165,3.672484984984985,0.4520297189619899,0.2775722844490753,1.155330683050235
meta-llama/Llama-3.1-8B,Llama-3.1-8B,128256,pt,2.091322603219034,3.5532160147544762,3.6664489356797048,0.3790762771168649,0.2814351831826636,1.8811709432598482
meta-llama/Llama-3.1-8B,Llama-3.1-8B,128256,vi,2.1046765204749214,3.56513839258676,4.604263824117255,0.12155722477990469,0.28049402011416147,1.193422479219371
meta-llama/Llama-3.1-8B,Llama-3.1-8B,128256,id,2.4865749097472922,3.4712508320106497,3.474015667400543,0.16708032490974728,0.28808059353658716,1.411709432598482
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,151665,en,1.566638330027392,5.093870829156523,5.098095374480883,0.635590818928875,0.19631436161988164,1.0
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,151665,zh,12.116815476190476,1.7387819063978542,4.210619895729741,0.36235119047619047,0.5751152552948109,2.3759845338679653
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,151665,ja,43.43549589858315,1.4081757376158626,4.055223576545683,0.16778523489932887,0.7101386377335744,4.217814692825433
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,151665,ar,2.575744434807748,2.6227222697810935,4.744955362602421,0.2209453599306158,0.38128322297864403,2.3419733638837177
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,151665,hi,4.49415123883209,1.0921972831459852,2.7763538500970304,0.03850050658561297,0.915585504039693,3.9110697407990833
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,151665,de,2.294390073400909,3.465814532040834,3.5299390923908383,0.3461202376791332,0.2885324620677706,1.66933982528999
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,151665,tr,2.970036613614287,2.910802662267478,3.2123556516297858,0.14361503399835612,0.3435478512380543,2.5173993985393097
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,151665,ko,3.1130505709624794,1.4254119797882334,3.3192494223395883,0.0799347471451876,0.7015515613588186,2.8199198052413004
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,151665,th,15.110736368746487,1.8255946853346667,5.230587899135653,0.1225407532321529,0.5477667129693033,2.0047257625662325
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,151665,ru,3.0961287678378477,2.623896131202691,4.744309819175778,0.19620701218376244,0.38111264699401004,5.448661033939567
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,151665,fr,2.061056543668702,3.693923210161663,3.828810623556582,0.43243960711441465,0.27071488580192643,0.9921237290562795
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,151665,es,1.9865403251857434,3.508285609845254,3.57627634945778,0.44621513944223107,0.2850395068160111,1.1752828297293427
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,151665,pt,2.1314205738278518,3.503144177589211,3.614781422835063,0.3778166550034989,0.28545784852286,1.8901618215666618
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,151665,vi,2.1038688312737257,3.370783943194182,4.3532611807822255,0.12826104514982634,0.2966668931774939,1.250393813547186
Qwen/Qwen2.5-1.5B,Qwen2.5-1.5B,151665,id,2.52831678700361,3.3968134676085975,3.399519013978656,0.1641471119133574,0.2943935572370459,1.4291135615065158
